Jumlah Bulan Laporan,10,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
,2025,,,,,,,,,,,,,,,,,,,
,PROVINSI SUMATERA SELATAN,,,,,,,,,,,,,,,,,,,
,KAB. BANYUASIN,KAB. EMPAT LAWANG,KAB. LAHAT,KAB. MUARA ENIM,KAB. MUSI BANYUASIN,KAB. MUSI RAWAS,KAB. MUSI RAWAS UTARA,KAB. OGAN ILIR,KAB. OGAN KOMERING ILIR,KAB. OGAN KOMERING ULU,KAB. OGAN KOMERING ULU SELATAN,KAB. OGAN KOMERING ULU TIMUR,KAB. PENUKAL ABAB LEMATANG ILIR,KOTA LUBUK LINGGAU,KOTA PAGAR ALAM,KOTA PALEMBANG,KOTA PRABUMULIH,All,,
"PENYEDIAAN LAYANAN UNTUK MASYARAKAT DALAM BIDANG HUBUNGAN LUAR NEGERI, PERTAHANAN, KEAMANAN DAN KETERTIBAN",,,,,,,,,,,,,,,,,,,,
PENYEDIAAN MAKANAN DAN MINUMAN LAINNYA,,106304160,24458541405,10468915673,1150440709,,300000000,,4042595921,4392191050,4830660,9785965,,2895121723,894028426,106518250553,10300485887,165541492132,,
PENYELENGGARA KONVENSI DAN PAMERAN DAGANG,,,,,,,,,,,,,,,,,,,,
PENYELESAIAN KONSTRUKSI BANGUNAN,,,12994726973,,,,,,,,,,,,,9521259227,,22515986200,,
PENYEWAAN ALAT KONSTRUKSI DENGAN OPERATOR,,,,,,,,,,,,,,,,79660212942,,79660212942,,
PENYIAPAN LAHAN LAINNYA DAN PEMBONGKARAN,,,,199941223,278641728,,,322745131,347103809,251319661,600000000,,,4780975731,,91516817136,,98297544419,,
PENYIAPAN TANAH PEMUKIMAN TRANSMIGRASI (PTPT),,,,,,,,,40937665,,,,,,178794602,,,219732267,,
PERANTARA MONETER,,,,,,,,,,,,,,,,28713796779,,28713796779,,
"PERBURUAN, PENANGKAPAN DAN PENANGKARAN TUMBUHAN/ SATWA LIAR",,,,,,,,,24277749,,,,,814800474,,17121759,892058969,1748258951,,
PERDAGANGAN BESAR ALAS KAKI,,,,,,,,,,,,,,,,21247935477,,21247935477,,
"PERDAGANGAN BESAR ALAT LABORATORIUM, FARMASI DAN KEDOKTERAN",,,,,,,,6038564,409679883,,130081204,139054398,,772872039,168259544,93100920615,1056460523,95783366770,,
PERDAGANGAN BESAR ATAS DASAR BALAS JASA (FEE) ATAU KONTRAK,,,276128147,36058196237,18865159,,,,31879462855,62656463,,,,7632567834,3060240963,234596042929,28456571658,342040732245,,
"PERDAGANGAN BESAR BAHAN BAKAR PADAT, CAIR DAN GAS DAN PRODUK YBDI",,,7980971819,5371859758,5589371258,,,,13944722486,9827389981,,,,21542063500,5490912776,531475123873,6920953175,608143368626,,
PERDAGANGAN BESAR BAHAN KONSTRUKSI DARI KAYU,,,,,,,,,,,,,,,,13940252485,96566320,14036818805,,
PERDAGANGAN BESAR BAHAN MAKANAN DAN MINUMAN HASIL PERTANIAN LAINNYA,14800488,403989807,,,254552438,933434479,36943655,,292994209,1356092877,,13552384,59201697,13521715664,1188668224,261441079536,35956724033,315473749491,,
PERDAGANGAN BESAR BAHAN MAKANAN DAN MINUMAN HASIL PETERNAKAN DAN PERIKANAN LAINNYA,,,,1864670681,,,,,730245830,1235519959,,,,422210985,,27618059712,2771661552,34642368719,,
PERDAGANGAN BESAR BARANG BEKAS DAN SISA-SISA TAK TERPAKAI (SCRAP),,,,,,,,,524540274,1038030818,,,,619121631,,11103508297,2032324843,15317525863,,
PERDAGANGAN BESAR BARANG KEPERLUAN RUMAH TANGGA LAINNYA,,,5945441513,11545664829,1626084693,177463920,,,11191940294,4686611245,67658962,,,14634995239,1326300246,597262137806,7756421520,656220720267,,
PERDAGANGAN BESAR BERAS,,166162047,3577739893,5583619126,1362507380,,,,23323417669,58924377654,,2926652524,,3713859971,9078684115,268655696322,1711125687,379023842388,,
PERDAGANGAN BESAR BERBAGAI MACAM MATERIAL BANGUNAN,59941185,,18863186346,9736565083,4251325635,293418090,,349725959,57133158862,30166385723,,,,34078098382,931154302,1031420257725,33915355308,1221198572600,,
PERDAGANGAN BESAR BINATANG HIDUP,,455474,2094298479,906370833,277692980,,,,5393901599,12303694486,,,,12956077396,272120800,42512364911,315535081,77032512039,,
PERDAGANGAN BESAR BUAH YANG MENGANDUNG MINYAK,121807170,560373938,75254950,,1970830001,382892524,796599389,,1272303660,5960296177,,,135996820,7409926826,369889791,106716905921,575343446,126348420613,,
PERDAGANGAN BESAR DAN ECERAN; REPARASI DAN PERAWATAN MOBIL DAN SEPEDA MOTOR,,,,,,,,,,,,,,,,,,,,
