Provinsi,Kab/Kota,Tahun,Bulan,Jenis Bank,Skema,Aset,Kredit ,DPK,NPL
Sumatera Selatan,Kab. Banyuasin,2023,Mei,Bank Umum,Konvensional,1028.676438006,1026.378345307,790.717456719,66.757456407
Sumatera Selatan,Kab. Empat Lawang,2023,Mei,Bank Umum,Konvensional,630.822264147,598.943946512,234.801386194,0.77174601
Sumatera Selatan,Kab. Lahat,2023,Mei,Bank Umum,Konvensional,2680.022156979,1934.211736558,2496.800519686,37.428596646
Sumatera Selatan,Kab. Lematang Ilir Ogan Tengah (Muara Enim),2023,Mei,Bank Umum,Konvensional,10206.799919371,2733.366814567,9838.478784624,99.281491755
Sumatera Selatan,Kab. Musi Banyuasin,2023,Mei,Bank Umum,Konvensional,3237.834980843,3154.092686389,3139.881855731,64.02404483
Sumatera Selatan,Kab. Musi Rawas,2023,Mei,Bank Umum,Konvensional,532.538961204,474.689708546,520.324757949,8.185808955
Sumatera Selatan,Kab. Musi Rawas Utara,2023,Mei,Bank Umum,Konvensional,386.161432678,277.245578715,376.916020771,9.746009356
Sumatera Selatan,Kab. Ogan Ilir,2023,Mei,Bank Umum,Konvensional,785.857644624,677.709937288,762.257571742,4.078687095
Sumatera Selatan,Kab. Ogan Komering Ilir,2023,Mei,Bank Umum,Konvensional,4197.25990748,4232.665150732,2934.288866724,102.677364931
Sumatera Selatan,Kab. Ogan Komering Ulu,2023,Mei,Bank Umum,Konvensional,4018.308816733,3955.090903181,3092.110386058,133.141107718
Sumatera Selatan,Kab. Ogan Komering Ulu Selatan,2023,Mei,Bank Umum,Konvensional,760.397299222,724.820115874,408.087398603,15.682198874
Sumatera Selatan,Kab. Ogan Komering Ulu Timur,2023,Mei,Bank Umum,Konvensional,1002.540417382,973.002863775,604.223472609,17.541407616
Sumatera Selatan,Kab. Penukal Abab Lematang Ilir,2023,Mei,Bank Umum,Konvensional,565.342040735,320.8138035,547.726730275,7.953070928
Sumatera Selatan,Kota Lubuklinggau,2023,Mei,Bank Umum,Konvensional,3982.859314213,3946.842844862,3199.471724678,57.365927482
Sumatera Selatan,Kota Pagar Alam,2023,Mei,Bank Umum,Konvensional,1682.657936549,1673.259081151,1021.136010143,48.392023095
Sumatera Selatan,Kota Palembang,2023,Mei,Bank Umum,Konvensional,65944.063249471,55669.139368273,58804.436546574,2157.510041602
Sumatera Selatan,Kota Prabumulih,2023,Mei,Bank Umum,Konvensional,4583.666446226,3562.651000563,4411.900196349,79.396128982
Sumatera Selatan,All Sumatera Selatan,2023,Mei,Bank Umum,Konvensional,102259.895302665,85934.923885793,93183.559685429,2909.933112282
Sumatera Selatan,Kab. Banyuasin,2023,Juni,Bank Umum,Konvensional,1032.518689353,1027.212182695,754.464093387,66.992066148
Sumatera Selatan,Kab. Empat Lawang,2023,Juni,Bank Umum,Konvensional,612.337838521,580.417740526,212.116549063,0.767886729
Sumatera Selatan,Kab. Lahat,2023,Juni,Bank Umum,Konvensional,2573.599883891,1945.718880062,2377.873549625,36.362760047
Sumatera Selatan,Kab. Lematang Ilir Ogan Tengah (Muara Enim),2023,Juni,Bank Umum,Konvensional,10323.778454942,2748.635161316,9858.372261724,88.122838391
Sumatera Selatan,Kab. Musi Banyuasin,2023,Juni,Bank Umum,Konvensional,3228.409025811,3182.440095614,3093.632014233,64.583475771
Sumatera Selatan,Kab. Musi Rawas,2023,Juni,Bank Umum,Konvensional,491.602876702,477.415781133,455.583113267,8.31885419
Sumatera Selatan,Kab. Musi Rawas Utara,2023,Juni,Bank Umum,Konvensional,332.771664209,283.065637167,321.738427589,10.003925748
Sumatera Selatan,Kab. Ogan Ilir,2023,Juni,Bank Umum,Konvensional,756.308087878,681.871767547,727.65510031,4.218703902
Sumatera Selatan,Kab. Ogan Komering Ilir,2023,Juni,Bank Umum,Konvensional,4234.035677469,4248.45625632,2879.957002537,79.292701602
