Provinsi,Tahun,Bulan,Jenis Kredit/Pembiayaan,"Nominal Kredit 
(Rp Miliar)","Nominal NPL 
(Rp Miliar)",Nominal NPL Net (Rp Miliar),Jumlah Rekening UMKM
Bengkulu,2024,Desember,UMKM,13493.417898977,277.332502273,107.828167969,198402
Sumatera Selatan,2019,Desember,Non UMKM,57726.506894915,1206.785640833,568.617062713,332536
KEPULAUAN BANGKA BELITUNG,2019,Desember,Non UMKM,8985.069175354,83.646624901,46.882088881,58650
Lampung,2019,Desember,Non UMKM,45520.515241348,1073.018780024,479.233397505,249568
Jambi,2019,Desember,Non UMKM,25016.76420898,664.214863025,308.750697216,163669
Bengkulu,2019,Desember,Non UMKM,13111.839768064,112.403438388,62.753208427,107161
Sumatera Selatan,2020,Desember,Non UMKM,60559.230129558,2336.381689915,897.416638601,350969
KEPULAUAN BANGKA BELITUNG,2020,Desember,Non UMKM,7995.037394194,118.194867951,52.723068044,63028
Lampung,2020,Desember,Non UMKM,47219.621442493,1009.330388055,243.42292393,266363
Jambi,2020,Desember,Non UMKM,27684.650636198,677.059628848,199.87099112800001,185298
Bengkulu,2020,Desember,Non UMKM,13933.579234699,109.523550243,56.289713115,120791
Sumatera Selatan,2021,Desember,Non UMKM,60085.569129891,1596.360957788,360.695698786,322729
KEPULAUAN BANGKA BELITUNG,2021,Desember,Non UMKM,7850.688638058,111.205842779,39.303078454,59637
Lampung,2021,Desember,Non UMKM,47459.696262083,2439.430444745,342.131291245,229559
Jambi,2021,Desember,Non UMKM,26800.09142671,449.775867491,150.933843077,169853
Bengkulu,2021,Desember,Non UMKM,13755.681323647,89.033284506,37.726010176,105996
Sumatera Selatan,2022,Desember,Non UMKM,60903.863959282,1499.69393157,367.076619145,337188
KEPULAUAN BANGKA BELITUNG,2022,Desember,Non UMKM,8537.955002923,272.149735126,29.001254423,59808
Lampung,2022,Desember,Non UMKM,48587.062570512,2239.785838785,247.381376199,232645
Jambi,2022,Desember,Non UMKM,26538.17259283,389.900818407,145.881489419,169900
Bengkulu,2022,Desember,Non UMKM,14057.727959511,163.956572531,80.772497584,108793
Sumatera Selatan,2023,Januari,Non UMKM,1074.108389634,27.232928321,10.535722319,17509
KEPULAUAN BANGKA BELITUNG,2023,Januari,Non UMKM,72.163045021,3.356335195,0.908991168,3548
Lampung,2023,Januari,Non UMKM,10182.810784941,97.526886419,9.628316753,75558
Jambi,2023,Januari,Non UMKM,172.458767834,16.24305626,8.017774933,5469
Bengkulu,2023,Januari,Non UMKM,142.081511505,5.072712257,2.779099555,3878
Sumatera Selatan,2023,Februari,Non UMKM,1059.721860223,25.383452863,8.165961744,15826
KEPULAUAN BANGKA BELITUNG,2023,Februari,Non UMKM,75.922173656,3.942964462,1.434094626,3825
Lampung,2023,Februari,Non UMKM,10235.28515586,94.476096987,12.585259092,76975
Jambi,2023,Februari,Non UMKM,181.984839739,16.44269204,7.777274535,5573
Bengkulu,2023,Februari,Non UMKM,148.635381701,5.273251106,2.720210718,4074
Sumatera Selatan,2023,Maret,Non UMKM,1110.706452346,26.710818724,8.259452859,18058
KEPULAUAN BANGKA BELITUNG,2023,Maret,Non UMKM,77.36776672,4.274425244,1.733342346,3943
Lampung,2023,Maret,Non UMKM,10413.480008602,97.264358761,12.332297481,77660
Jambi,2023,Maret,Non UMKM,178.69948579,16.968600717,8.239830893,5581
Bengkulu,2023,Maret,Non UMKM,150.491801608,5.4307197,2.782680825,4264
Sumatera Selatan,2023,April,Non UMKM,62944.499129738,1609.936060363,418.48353906,341786
KEPULAUAN BANGKA BELITUNG,2023,April,Non UMKM,8860.94026475,278.703691308,40.670188751,62110
Lampung,2023,April,Non UMKM,48099.316741011,958.163407581,283.169315985,240202
Jambi,2023,April,Non UMKM,27094.960837636,529.699344352,216.155119305,172468
Bengkulu,2023,April,Non UMKM,14192.970950106,208.112219941,109.701673838,110114
