Negara,Provinsi,Tahun,Bulan,Total Aset,Giro,Tabungan,Deposito,Total DPK ,Modal Kerja,Investasi,Konsumsi,Total Kredit,Nominal NPL Gross,Rasio NPL Gross,Nominal NPL Net,Rasio NPL Net,Loan to Deposit Rastio (LDR)
INDONESIA,LAMPUNG,2023,Februari,79768.529220826,8957.645949338,32860.733492425,18468.502834976,60286.88228,34869.519079266,12306.084808177999,28760.193121367003,75935.79701,3285.781401645,0.04327051972,737.082064325,0.00970664816,1.259574125
INDONESIA,LAMPUNG,2023,Maret,80438.474585906,10676.976189445,32883.034088621,19091.753156992,62651.76344,35626.700891791,11117.488945027999,28910.147875445997,75654.33771,1904.123954846,0.0251687347,718.975850663,0.009503431957,1.207537243
INDONESIA,LAMPUNG,2023,April,80020.325837849,9209.82050308,33935.206574336,19160.058314052,62305.08539,35837.240398268,11059.81312663,28844.569210290996,75741.62274,2011.441756301,0.02655662347,780.952049387,0.01031073829,1.215657153
INDONESIA,LAMPUNG,2023,Mei,80756.817703305,8604.422433685,33748.971242160995,19155.052736502,61508.44641,36322.81005008,11295.574343931,28970.628394974003,76589.01279,2062.261690551,0.02692633859,771.385111113,0.01007174636,1.245178789
INDONESIA,LAMPUNG,2023,Juni,84177.837572334,8496.364485676,34259.106779081,19319.780091595,62075.25136,37357.179147576,13073.500776301002,29065.495357691998,79496.17528,1817.597424559,0.02286396066,763.4564804249999,0.009603688199,1.28064202
INDONESIA,LAMPUNG,2023,Juli,82047.700790578,11151.721876929,34371.88108379301,19183.435347063998,64707.03831,37595.244418153,7313.131443335,29156.420089117004,74064.79595,2006.85878355,0.02709598748,821.470109718,0.01109123571,1.144617307
INDONESIA,LAMPUNG,2023,Agustus,81451.488456752,10452.97342064,34058.524224388995,19543.274491488002,64054.77214,38322.386287365,7515.124571127,29369.880375858003,75207.39123,2037.617831949,0.02709331887,840.41545956,0.01117463916,1.174110667
INDONESIA,LAMPUNG,2023,September,83084.43800253699,10255.595729518,33932.93163605,19725.86274785,63914.39011,38822.87956871,7632.215140245001,29574.995263802,76030.08997,2060.161764403,0.02709666351,812.8670352610001,0.01069138594,1.189561378
INDONESIA,LAMPUNG,2023,Oktober,83470.983255883,10905.540451713,34084.515339569,19610.984252795,64601.04004,38630.890992197994,7776.933333001,29737.750046793997,76145.57437,2048.057805689,0.02689660985,794.580738372,0.01043502193,1.178705085
INDONESIA,LAMPUNG,2023,November,82812.041297153,10977.375022425,34410.882192813,19374.903935831,64763.16115,38423.281745379,7925.64500684,29853.535114484,76202.46187,2046.560369977,0.02685687995,802.8795514020001,0.01053613665,1.176632834
INDONESIA,LAMPUNG,2023,Desember,85177.38421888,8920.01775358,34900.28338648599,19338.16836094,63158.4695,39065.417579071,8480.621907519,29962.494366901,77508.53385,1825.370933869,0.02355058009,836.479306295,0.01079209301,1.227207285
INDONESIA,LAMPUNG,2024,Januari,88066.884404878,10305.234908875,34143.916785532,19656.929624995002,64106.08132,38511.72668782,8589.662869398,33420.435309342,80521.82487,2030.9137376549997,0.02522190401,900.211502511,0.01117972058,1.256071549
INDONESIA,LAMPUNG,2024,Februari,93556.82921717002,10819.484575639,33358.792196316,19425.936723553,63604.2135,38323.479489979,8816.152587857001,30265.312942605,77404.94502,1999.780420246,0.02583530574,916.2309193499999,0.01183685253,1.216978259
INDONESIA,LAMPUNG,2024,Maret,86794.64616760598,10764.682394042,33780.759103546996,19377.334073779,63922.77557,38915.43251646001,8933.842391835,30846.039450502,78695.31436,1969.136468185,0.02502228353,907.121692767,0.01152701022,1.231099771
INDONESIA,LAMPUNG,2024,April,87416.547254006,10388.317230048,34995.877225342,19174.129147662,64558.3236,39343.953150145004,9087.687156856,30892.784194202002,79324.4245,2000.373487082,0.0252176237,936.103377207,0.0118009476,1.228724974
INDONESIA,LAMPUNG,2024,Mei ,87841.867299867,10429.69183187,35052.078850935,19167.256727696,64649.02741,39655.193740449,9300.086690268,31149.317482804996,80104.59791,2002.062692529,0.02499310582,913.68105217,0.01140609997,1.239068879
INDONESIA,LAMPUNG,2024,Juni,89699.770626778,11397.220617722,35981.687161931004,18921.6321607,66300.53994,40488.542317434,9392.019651265,31382.462911327002,81263.02488,1973.704440029,0.02428785346,892.9087989450001,0.01098788533,1.225676668
INDONESIA,LAMPUNG,2024,Juli,89977.329688362,10946.687324428,36707.279376437,18983.496724867,66637.46343,40660.958698571005,9459.062926386,31680.730810654997,81800.75244,1956.582022202,0.02391887561,899.3740176179999,0.01099469126,1.227549013
